사업표준용어명,영문약어,설명,공공도메인,사업도메인,데이터타입,길이,허용값,저장형식,표현형식,이음동의어,출처
일호출한도,DAILY_QUOTA,일 단위 최대 호출 허용 건수.,,,N,10,,,,,
작성자번호,AUTHOR_NO,댓글 작성자 사번,,,V,50,,,,,KLID-저작도구 ERD-023
작성자역할,AUTHOR_ROLE_CD,작성 시점 역할 — 표시·상태전이 판정용(WORKER/REVIEWER),,,V,20,,,,,KLID-저작도구 ERD-023
작업아이디,JOB_ID,"작업을 식별하기위한 고유 ID

[영문] Job Id",,수I11,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
잠금아이디,LOCK_ID,"잠금 식별자 (UUID, UNIQUE)",,,V,64,,,,,KLID-저작도구 ERD-020
재생시간초,DURT_SEC,재생 시간 (초 단위).,,,,,,,,,
재시도횟수,RTY_CNT,"재시도 횟수

[영문] Retry Count",,수I11,N,10,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
재전송횟수,RTRSM_COUNT,"전송 재시도 횟수

[영문] Retransmission Count",수N10,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
저장파일명,STORE_FILE_NM,UUID 기반 안전 저장 파일명,,,V,255,,,,,KLID-저작도구 ERD-022
적외선강도,IR_INT,"적외선의 강도

[영문] Infrared Intensity",,,V,10,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
적외선유무,IR_YN,"적외선 설치 유무

[영문] Infrared Yes Or No",,여부V1,,,"Y : 여(예), N : 부(아니요)",,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
전광판유무,EDB_YN,"폴대 전광판 설치 여부

[영문] Electronic Display Board Yes Or No",,여부V1,,,"Y : 여(예), N : 부(아니요)",,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
전광판유형,EDB_TYPE,"폴대 전광판 유형(종류)

[영문] Electronic Display Board Type",,명V30,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
전송스케줄,TRSM_SCHDL,"데이터가 전송되는 일정을 정의한 스케줄 정보

[영문] Transmission Schedule",,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
중국산대수,CHN_COM,"중국산대수

[영문] Chinese Made Count Of Machines",,수I11,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
지자체코드,SITE_CD,중계서버를 운영하는 지자체 식별 코드. 모든 수집 테이블에서 데이터 소속 지자체 구분,,,V,10,,,,,KLID-2 ERD 표준용어 일괄 등록 (2026-06-25)
첨부파일명,ATCH_FILE_NM,"안건이나 문서 등에 덧붙인 파일의 이름

[영문] Attachment File Name",명V200,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
청크파일명,CHUNK_FILE_NM,"청크파일의 이름

[영문] Chunk File Name",,내용V255,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
총샘플건수,TOTAL_SAMPLE_NOCS,"배포에 포함된 총 샘플 건수. 단어 조합: 총(TOTAL, program 420) + 샘플(SAMPLE, program 566) + 건수(NOCS, gov 168). dispatch_jobs.total_sample_count.",,,,,,,,,KLID-2 D004 ERD-010
총수강인원,TOTAL_TRAINEE_CNT,해당 연도 총 수강 인원. 회당평균은 총수강/(집합+온라인) 조회 시 계산(별도 컬럼 미보유). 단어조합 총+수강(ATNLC)+인원(PRSNL). 물리명 total_trainee_cnt 유지.,,,N,,,,,,발주처 관제인력 교육현황 조사 양식
총파일크기,TOTAL_FILE_SZ,"총 파일의 크기

[영문] Total File Size",,수B20,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
촬영지역명,SHT_LC,"촬영이 이루어진 지역

[영문] Shooting Location Name",,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
최대대역폭,MAX_BW,"최대 대역폭 설정 값. 허용 가능한 최고 전송 용량

[영문] Maximum Bandwidth",수N14,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
최소대역폭,MIN_BW,"최소 대역폭 설정 값. 허용 가능한 최저 전송 용량

[영문] Minimum Bandwidth",수N14,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
추가메시지,ADD_MSG,,,,,,,,,,D003 ERD-008 C그룹 (selective_collection_requests.extra_message)
출처아이디,SRC_ID,표준화 이벤트의 원천 raw 레코드 PK 역추적용. CLCT_SRC_CD와 결합하여 어느 raw 테이블의 어떤 ID인지 식별,,,N,20,,,,,KLID-2 ERD 표준용어 일괄 등록 (2026-06-25)
출처플랫폼,SRC_PLFM,"데이터 출처 플랫폼명. 단어 조합: 출처(SRC, gov 2846) + 플랫폼(PLFM, prog 347). datasets.source_platform.",,,,,,,,,KLID-PT D001 ERD-001
카메라개수,CMA_CNTOM,"설치된 카메라의 총 개수

[영문] Camera Count",수N2,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
카테고리명,CTGRY_NM,"카테고리 명

[영문] Categhory Name",명V100,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
코드명영문,CD_NM_EN,공통코드의 영문 명칭. 영문 표시/Enum 매핑용,,,V,100,,,,,KLID-2 ERD 표준용어 일괄 등록 (2026-06-25)
콘텐츠유형,CONTS_TYPE,MIME 타입(image/jpeg|image/png). background_images.content_type,명V80,,,,,,,,KLID-2 D007 ERD-007
콘텐츠포맷,CONTS_FRMAT,"콘텐츠 포맷 (html/markdown). 콘텐츠(CONTS, gov 2894)+포맷(FRMAT, gov 3027). static_pages.content_format.",,,,,,,,,KLID-PT D007 ERD-005
큐일련번호,QUEUE_SN,관제통지fallback큐 PK(IDENTITY),,,N,19,,,,,KLID-저작도구 ERD-021
키폐기일시,REVOKED_DT,serviceKey 폐기(revoke) 일시. 만료 전 즉시 차단 시각.,,,D,,,,,,
키표시접두,KEY_PREFIX,serviceKey 식별용 표시 접두 문자열.,,,V,20,,,,,
통계아이디,STAT_ID,"통계아이디

[영문] Statistics Id",,일련번호B20,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
통신망유형,ERR_COMM_NET_TYPE,"통신망 유형

[영문] Communication Network Type",,명V30,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
트랙아이디,TRCK_ID,"트랙(재생 구간 등)의 고유 식별자

[영문] Track Id",,식별자V30,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
파일아이디,FILE_ID,"파일 고유 식별자

[영문] File Id",,일련번호B20,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
파일확장자,FILE_EXT,"해당 파일의 이름 끝에 붙어 파일의 종류나 형식을 구분하는 문자열

[영문] File Extension",,,V,10,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
패키징상태,PKG_STTS,"데이터셋 버전의 패키징 진행 상태. 단어 조합: 패키징(PKG, program 569) + 상태(STTS, gov 1291). dataset_versions.packaging_status.",,,,,,,,,KLID-2 D004 ERD-010
페이지유형,PAGE_TYPE,"정적 페이지 유형 (약관/개인정보/이용가이드 등). 페이지(PAGE, prog 592)+유형(TYPE, gov 1943). static_pages.page_type.",,,,,,,,,KLID-PT D007 ERD-005
포맷스키마,FRMAT_SCHM,"어노테이션 포맷 스키마명 (ADR-007 동적 어댑터 식별). 단어 조합: 포맷(FRMAT, gov 3027) + 스키마(SCHM, gov 1544). annotations.format_schema.",,,,,,,,,KLID-PT D005 ERD-006
폴대아이디,POLE_ID,"폴대를 식별하기위한 고유 ID

[영문] Pole Id",,수B20,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
프레임개수,FRAME_CNT,다운스케일된 프레임 개수,,,N,10,,,,,KLID-저작도구 ERD-012
프레임번호,FRM_NO,"특정 프레임의 번호

[영문] Frame Number",,일련번호B20,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
할당량상한,QT_UPLMT,"할당량 상한값. 할당량(QT, gov 3104)+상한(UPLMT, gov 1295). daily_quota_usages.quota_limit.",,,,,,,,,KLID-PT D006 ERD-004
행정동코드,ADM_DONG_CD,"행정동코드

[영문] Administrative Dong Code",,코드V20,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
협약기관명,CLIENT_NM,외부 OpenAPI 협약 클라이언트(소비 기관) 명칭.,,,V,200,,,,,
활성회원수,ACTVTN_MBR_CNT,해당일 활성(로그인) 회원 수(DFEAT-040 AC-095). 활성(gov:3232)+회원(gov:3245)+수(gov:1440).,수N10,,,,,,,,KLID-PT D005 ERD-003 일별통계.활성회원수
회원아이디,MBR_ID,회원 식별 FK. 회원(gov:3245)+아이디(gov:1634).,명V20,,,,,,,,KLID-PT D002 ERD-002 login_histories.member_id 외 4테이블
가공유형코드,,"데이터 처리의 유형을 구분하는 코드

[영문] Processing Type Code",,코드V20,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
가명여부포함,PSDO_INCL_YN,"가명 여부 포함 여부

[영문] Including pseudonym Yes Or No",,여부V1,,,"Y : 여(예), N : 부(아니요)",,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
가입상태코드,REG_STTS_CD,"등록 상태를 나타내는 코드

[영문] Registration Status Code",,코드V20,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
가입신청일자,JOIN_APLY_YMD,"조직이나 단체 따위에 들어가기 위하여 신청한 날짜

[영문] Join Apply Year Month Day",,연월일V8,,,"YYYY : 0001~9999, MM : 01~12, DD : 01~31",,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
감시계산상태,SURV_CAL_STTS,,,,,,,,,,D003 ERD-008 C그룹 (resource_cctvs.view_calc_status)
감시계산오류,SURV_CAL_ERR,,,,,,,,,,D003 ERD-008 C그룹 (resource_cctvs.view_calc_error)
감시계산일시,SURV_CAL_DT,,,,,,,,,,D003 ERD-008 C그룹 (resource_cctvs.view_calc_at→surv_cal_dt rename)
검수상태코드,RVW_STTS_CD,"검수 상태: AUTO_GENERATED/PENDING/APPROVED/REJECTED. RVW=Review. 논리명 관례 = 도메인 REVIEWER=검수(2026-07-10 사용자 확정, 검토→검수).",,,V,20,,,,,KLID-저작도구 ERD-010
게시물아이디,PST_ID,"게시물 아이디

[영문] Post Id",,일련번호B20,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
게시종료일시,PSTG_END_DT,공지 게시 종료 일시 (notices.publish_end_at). 게시시작일시(PSTG_BGNG_DT)·게시여부(PSTG_YN)와 PSTG 계열 통일.,,,,,,,,,D006 ERD-014 정합
결과파일경로,RSLT_FILE_PATH,"증강 결과 파일 경로. 결과(RSLT, gov 199)+파일(FILE, gov 2986)+경로(PATH, gov 224). augmentation_results.result_file_path.",,,,,,,,,KLID-PT D006 ERD-004
결과파일크기,RSLT_FILE_SZ,"증강 결과 파일 크기 (bytes). 결과(RSLT)+파일(FILE)+크기(SZ, gov 2898). augmentation_results.result_file_size.",,,,,,,,,KLID-PT D006 ERD-004
결과페이로드,RSLT_PAYLOAD,VLM 검증 결과 원본 JSON 페이로드 (정확도/감지 객체/시간 정보 등),,,V,4000,,,,,KLID-2 ERD 표준용어 일괄 등록 (2026-06-25)
계정잠금일시,ACNT_LCK_DT,계정 잠금 처리된 일시. 로그인 실패 횟수 초과 시 자동 잠금(DFEAT-023). 계정(gov:255)+잠금(gov:2162)+일시(gov:2056).,연월일시분초D,,,,,,,,KLID-PT D001 ERD-001 회원.계정잠금일시
공개시작일시,RLS_BGNG_DT,공지 예약 게시 시작 일시. 공개(gov:287)+시작(gov:1581)+일시(gov:2056).,연월일시분초D,,,,,,,,KLID-PT D003 ERD-003 notices.publish_start_at
공개종료일시,RLS_END_DT,공지 공개 종료 일시. 공개(gov:287)+종료(gov:2422)+일시(gov:2056).,연월일시분초D,,,,,,,,KLID-PT D003 ERD-003 notices.publish_end_at
관리자아이디,MNGR_ID,관리자 행위 주체 회원 FK. 관리자(gov:362)+아이디(gov:1634).,명V20,,,,,,,,KLID-PT D002 ERD-002 admin_action_logs.admin_id
교육주기코드,EDU_CYCLE_CD,교육 주기(택1). 코드성 값. 단어조합 교육(EDU)+주기(CYCLE)+코드(CD). 물리명 edu_cycle_cd 유지.,,,C,,,,,,발주처 관제인력 교육현황 조사 양식
권한부여일시,AUTHRT_GRANT_DT,"권한을 사용자에게 부여한 일자

[영문] Authority Grant Datetime",연월일시분초D,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
권한일련번호,AUTHRT_SN,"어떤 사람이나 기관의 권리나 권력이 미치는 범위에 일정한 방식으로 연속되게 매긴 번호

[영문] Authority Serial Number",,일련번호N20,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
기관전화번호,OG_TELNO,"기관전화번호

[영문] Organization Telephone Number",,명V15,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
내부메모여부,INSD_MEMO_YN,답변이 내부 전용 메모인지 여부 (service_request_replies.is_internal).,,,,,,,,,D006 ERD-014 정합
네트워크속성,NET_ATRB,,,,,,,,,,D003 ERD-008 C그룹 (resource_cctvs.network_attrs)
다운로드건수,DWNLD_NOCS,해당일 다운로드 건수(DFEAT-039 AC-094). 다운로드(gov:621)+건수(gov:168).,수N10,,,,,,,,KLID-PT D005 ERD-003 일별통계.다운로드건수
다운로드경로,DWNLD_PATH,완료 영상을 외부 URL에서 다운로드해 임시 저장한 로컬 경로. 등재 후 즉시 삭제. genai_jobs.downloaded_path,내용V1000,,,,,,,,KLID-2 D007 ERD-007
다운로드상태,DWNLD_STTS,"다운로드 진행 상태 (진행중/완료/실패). 단어 조합: 다운로드(DWNLD, gov 621) + 상태(STTS, gov 1291). download_histories.download_status.",,,,,,,,,KLID-PT D001 ERD-001
다운로드일시,DWNLD_DT,다운로드 완료 일시. 다운로드(gov:621)+일시(gov:2056).,연월일시분초D,,,,,,,,KLID-PT D002 ERD-005
다운로드횟수,DWNLD_NMTM,"누적 다운로드 횟수. 단어 조합: 다운로드(DWNLD, gov 621) + 횟수(NMTM, gov 3252). datasets.download_count.",,,,,,,,,KLID-PT D001 ERD-001
담당자식별자,PIC_ID,서비스 요청 처리 담당자 사용자 ID (service_requests.assignee_id).,,,,,,,,,D006 ERD-014 정합
담당자이메일,MNGR_EMAIL,협약 클라이언트 담당자 이메일 주소.,,,V,200,,,,,
답변자아이디,ANSWR_ID,문의 답변 관리자 FK→회원. 답변자(gov:646)+아이디(gov:1634).,명V20,,,,,,,,KLID-PT D004 ERD-004 문의.답변자아이디
대상기간시작,TRGT_PRD_BGNG,,,,,,,,,,D003 ERD-008 C그룹 (selective_collection_requests.target_period_from)
대상기간종료,TRGT_PRD_END,,,,,,,,,,D003 ERD-008 C그룹 (selective_collection_requests.target_period_to)
대역폭사용률,BNW_USGRT,"대역폭 사용 비율 (%). 단어 조합: 대역폭(BNW, gov 683) + 사용률(USGRT, gov 1231).","율N5,2",,,,,,,,KLID-2 D001 ERD-005
대표기관코드,MAIN_OG_CD,"대표기관코드

[영문] Main Organization Code",,코드V20,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
댓글일련번호,ISSUE_COMMENT_SN,이슈댓글 PK(IDENTITY),,,N,19,,,,,KLID-저작도구 ERD-023
데이터셋건수,DATST_NOCS,학습데이터셋 건수(DFEAT-044 유형별 통계). 데이터셋(gov:711)+건수(gov:168).,수N10,,,,,,,,KLID-PT D006 ERD-002 데이터현황스냅샷.데이터셋건수
데이터셋설명,DATA_SET_EXPLN,"데이터셋 설명

[영문] Data Set Explain",내용V4000,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
데이터셋유형,DATA_SET_TYPE,"데이터셋의 유형을 정의하는 분류 값

[영문] Data Set Type",,코드V20,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
데이터셋코드,DATA_SET_CD,외부 학습데이터 고유 코드 (관제 external_datasets.dataset_code 매핑). KLID-BM DATA_SET 패턴 적용. datasets.dataset_code.,,,,,,,,,KLID-PT D001 ERD-001 (KLID-BM 패턴)
디스크사용률,DSK_USGRT,"저장 장치 사용 비율 (%). 단어 조합: 디스크(DSK, program 462) + 사용률(USGRT, gov 1231).","율N5,2",,,,,,,,KLID-2 D001 ERD-005
라벨유형코드,LBL_TYPE_CD,라벨 유형: BBOX/POLYGON/SEGMENT/TRACK,,,V,16,,,,,KLID-저작도구 ERD-010
라벨일련번호,LBL_SN,"라벨 항목에 대한 고유 일련번호

[영문] Label Serial Number",,일련번호N20,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
라벨출처코드,LBL_SRC_CD,라벨 출처: YOLO/SAM2/INTERPOLATE/VLM,,,V,20,,,,,KLID-저작도구 ERD-010
라벨페이로드,LBL_PAYLOAD,라벨 전체 JSON 스냅샷(LabelResponse 직렬화 결과). diff/rollback 의 원천,,,V,4000,,,,,KLID-저작도구 ERD-019
레이어아이디,LAYER_ID,,,,,,,,,,D003 ERD-008 C그룹 (gis_layer_features.layer_id)
로고젝터유무,LPJ_YN,"로고젝터유무

[영문] Logo Projector Yes Or No",,여부V1,,,"Y : 여(예), N : 부(아니요)",,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
로그기록시각,TIMESTAMP,"로그 기록 시간

[영문] Log Timestamp",,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
로그아웃일시,LGOT_DT,"로그아웃을 시도한 날짜와 시각

[영문] Logout Datetime",연월일시분초D,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
로그인아이디,LGN_ID,사용자가 로그인 시 입력하는 식별 아이디. 로그인(gov 763)+아이디(gov 1634).,명V100,,,,,,,,KLID 2차 D005 ERD-012 users.login_id
로그일련번호,LOG_SN,"시스템 사용과 관련된 전체의 기록에 일정한 방식으로 연속되게 매긴 번호

[영문] Log Serial Number",,일련번호N20,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
리셋주기코드,RESET_CYCL_CD,ID 시퀀스 자동 리셋 주기 (NONE/DAILY/MONTHLY/YEARLY 등) 코드,,,V,10,,,,,KLID-2 ERD 표준용어 일괄 등록 (2026-06-25)
마감일련번호,DDLN_SEQ,마감정의 PK,,,N,19,,,,,KLID-저작도구 ERD-020
마킹모드코드,MARK_MODE_CD,마킹 모드: AUTO(프레임간격)/MANUAL(작업자 단축키),,,V,16,,,,,KLID-저작도구 ERD-013
마킹일련번호,MARKING_SN,영상마킹 PK(IDENTITY),,,N,19,,,,,KLID-저작도구 ERD-013
메뉴일련번호,MENU_SN,"메뉴 항목에 부여된 고유 일련번호

[영문] Menu Serial Number",,일련번호N20,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
메타유형코드,META_TYPE_CD,"메타데이터 유형을 구분하기 위한 코드

[영문] Metadata Type Code",,코드V20,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
메타일련번호,META_SN,"메타데이터 항목의 고유 일련번호

[영문] Metadata Serial Number",,일련번호N20,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
메트릭주기초,MTRC_CYCL_SEC,"메트릭 수집 주기 (초 단위). 단어 조합: 메트릭(MTRC, program 463) + 주기(CYCL, program 224) + 초(SEC, program 384).",수N10,,,,,,,,KLID-2 D001 ERD-005
미리보기영상,PRVW_VDO,"영상 재생 전에 확인할 수 있는 미리보기용 썸네일 또는 요약 영상

[영문] Preview Video",,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
반려사유내용,ISSUE_RSN,검수 반려 사유 텍스트(최대 1000자),,,V,1000,,,,,KLID-저작도구 ERD-015
발급자식별자,ISPR_IDNTFR,"증명서·토큰을 발급한 행위자의 고유 식별자. 단어 조합: 발급자(ISPR, gov 923) + 식별자(IDNTFR, gov 1591).",명V40,,,,,,,,KLID-2 D001 ERD-005
벤더이벤트명,VENDOR_EVNT_NM,외부 벤더가 부여한 이벤트 유형 한글/원문 명칭. 코드 매핑 보조 정보,,,V,4000,,,,,KLID-2 ERD 표준용어 일괄 등록 (2026-06-25)
변경상태코드,NEW_STTS_CD,변경 후 DATA_STTS_CD,,,V,32,,,,,KLID-저작도구 ERD-012
변경유형코드,CHG_TYPE_CD,변경 사유(INGEST_NEW/INGEST_UPD/STATUS_CHANGE 등),,,V,16,,,,,KLID-저작도구 ERD-012
변경자아이디,CHNRG_ID,권한을 변경한 사용자(변경자)의 아이디. 변경자(gov 1022)+아이디(gov 1634).,명V100,,,,,,,,KLID 2차 D005 ERD-012 user_role_history.chgr_id
변환결과내용,TRSF_RSLT_CN,"데이터 변환 결과에 대한 설명 또는 메시지

[영문] Transform Result Content",,내용V4000,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
변환상태코드,TRSF_STTS_CD,"변환 상태를 나타내는 코드

[영문] Transform Status Code",,코드V20,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
변환프레임수,TRSF_FRM_CNT,"변환 작업에서 처리된 프레임 수

[영문] Transform Frame Count",,정렬N10,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
